id,instructor_id,room_id,section_id
1,1,1,1
2,1,1,2
3,1,1,3
4,2,2,4
5,3,3,5
6,3,4,6
7,3,5,7
8,3,6,8
9,4,5,9
10,4,4,9
11,5,5,10
12,5,6,11
13,3,3,12
14,6,3,13
15,6,4,13
16,1,1,14
17,7,7,15
18,8,2,16
19,9,2,17
20,10,8,18
21,10,8,19
22,10,8,20
23,11,8,21
24,10,8,22
25,10,8,23
26,12,9,24
27,12,10,24
28,13,9,25
29,12,9,26
30,13,9,27
31,12,9,28
32,4,11,29
33,5,12,30
34,4,12,31
35,4,3,32
36,5,13,33
37,5,12,34
38,14,14,35
39,14,14,36
40,9,15,37
41,15,16,38
42,9,15,39
43,15,16,40
44,15,17,41
45,15,17,42
46,15,16,43
47,15,16,44
48,14,14,45
49,14,18,46
50,14,14,47
51,14,14,48
52,16,19,49
53,16,19,50
54,16,20,51
55,16,20,52
56,16,19,53
57,16,21,54
58,16,20,55
59,16,20,56
60,17,7,57
61,1,22,58
62,4,12,59
63,18,23,60
64,18,24,60
65,18,25,60
66,18,26,61
67,18,26,62
68,19,25,63
69,19,26,64
70,19,26,65
71,19,26,66
72,18,25,67
73,18,25,68
74,19,26,69
75,1,1,70
76,1,1,71
77,1,1,72
78,3,3,73
79,3,4,74
80,3,4,75
81,5,3,76
82,5,6,77
83,3,5,78
84,3,4,79
85,3,5,14
86,2,2,80
87,20,2,81
88,20,2,16
89,15,16,82
90,10,8,83
91,10,8,84
92,10,8,85
93,10,8,86
94,10,8,87
95,13,10,88
96,13,9,89
97,12,10,90
98,12,10,91
99,13,9,92
100,5,11,93
101,5,27,93
102,5,13,93
103,4,5,94
104,4,5,95
105,4,5,96
106,4,12,97
107,5,13,98
108,14,14,99
109,14,14,100
110,9,15,101
111,9,15,102
112,15,16,103
113,11,17,104
114,15,16,105
115,9,15,106
116,15,16,107
117,16,20,108
118,16,19,109
119,16,19,110
120,16,20,111
121,14,14,112
122,16,20,113
123,16,20,114
124,17,7,115
125,4,5,116
126,4,5,117
127,5,5,118
128,5,3,119
129,5,3,120
130,14,14,121
131,14,18,122
132,14,18,123
133,14,14,124
134,19,11,125
135,18,11,126
136,18,26,127
137,18,26,128
138,18,26,129
139,19,26,130
140,18,11,131
141,19,25,132
142,19,25,133
143,19,26,134
144,19,25,135
145,19,26,136
146,21,28,137
147,21,29,138
148,22,28,139
149,21,28,140
150,21,28,141
151,23,30,142
152,23,30,143
153,23,30,144
154,23,30,145
155,23,30,146
156,23,30,147
157,23,30,148
158,23,30,149
159,23,30,150
160,24,31,151
161,24,31,152
162,25,32,153
163,24,33,154
164,24,33,155
165,24,33,156
166,26,34,157
167,26,34,158
168,26,34,159
169,26,34,160
170,27,35,161
171,28,36,162
172,28,35,163
173,27,35,164
174,28,36,165
175,28,35,166
176,28,36,167
177,29,37,168
178,30,37,169
179,30,37,170
180,30,37,171
181,31,38,172
182,32,38,173
183,33,38,174
184,32,38,175
185,33,39,176
186,31,38,177
187,31,38,178
188,31,38,179
189,31,38,180
190,34,39,181
191,35,40,182
192,35,41,183
193,36,40,184
194,36,41,185
195,37,40,186
196,38,40,187
197,37,42,188
198,36,42,189
199,39,37,190
200,35,38,191
201,40,42,192
202,35,41,193
203,39,37,194
204,41,43,195
205,30,37,196
206,42,44,197
207,42,44,198
208,42,44,199
209,42,44,200
210,43,44,201
211,42,44,202
212,44,45,203
213,21,28,204
214,22,28,205
215,21,28,206
216,21,29,207
217,21,28,208
218,45,32,209
219,45,31,151
220,45,31,210
221,46,32,153
222,26,34,211
223,26,34,212
224,26,34,213
225,27,35,214
226,27,36,215
227,27,36,216
228,28,36,217
229,28,36,218
230,30,37,219
231,30,37,220
232,30,37,221
233,30,37,222
234,30,37,223
235,32,39,224
236,31,38,174
237,33,38,225
238,32,38,226
239,33,40,176
240,33,39,178
241,35,42,182
242,36,42,184
243,38,42,187
244,37,40,188
245,35,41,227
246,41,40,228
247,42,44,229
248,42,44,230
249,42,44,231
250,42,44,201
251,17,44,232
252,17,44,233
